n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.0001,standard_rollout,42,0,3,0,1,4,337.4840999895241,84.37102499738103,1,0
5,exp,0.05,0.0001,standard_rollout,42,1,3,0,1,3,208.7011999974493,69.56706666581643,1,0
5,exp,0.05,0.0001,standard_rollout,42,2,10,1,1,13,1012.8255000163336,77.90965384741027,0,0
5,exp,0.05,0.0001,standard_rollout,42,3,10,0,1,11,903.1959999992978,82.10872727266343,1,0
5,exp,0.05,0.0001,standard_rollout,42,4,16,0,1,16,1277.3444000049494,79.83402500030934,1,0
5,exp,0.05,0.0001,standard_rollout,42,5,25,1,1,28,2026.9775000051595,72.39205357161283,0,0
5,exp,0.05,0.0001,standard_rollout,42,6,3,0,1,4,278.74330000486225,69.68582500121556,1,0
5,exp,0.05,0.0001,standard_rollout,42,7,12,0,1,14,1077.5757000083104,76.96969285773646,1,0
5,exp,0.05,0.0001,standard_rollout,42,8,15,0,1,17,1358.532699989155,79.91368823465618,1,0
5,exp,0.05,0.0001,standard_rollout,42,9,21,0,1,19,1419.961300009163,74.73480526364017,1,0
5,exp,0.05,0.0001,standard_rollout,42,10,8,0,1,9,734.5911999873351,81.62124444303724,1,0
5,exp,0.05,0.0001,standard_rollout,42,11,17,0,1,15,1060.002499987604,70.66683333250694,1,0
5,exp,0.05,0.0001,standard_rollout,42,12,13,0,1,12,968.5645000135992,80.7137083344666,1,0
5,exp,0.05,0.0001,standard_rollout,42,13,3,0,1,3,217.08969998871908,72.36323332957302,1,0
5,exp,0.05,0.0001,standard_rollout,42,14,11,0,1,10,743.6116999888327,74.36116999888327,1,0
5,exp,0.05,0.0001,standard_rollout,42,15,24,1,1,21,1610.91500002658,76.7102380965038,0,0
5,exp,0.05,0.0001,standard_rollout,42,16,24,0,1,21,1631.2130000151228,77.67680952452966,1,0
5,exp,0.05,0.0001,standard_rollout,42,17,2,0,1,2,154.57169999717735,77.28584999858867,1,0
