n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.5,greedy,42,0,3,0,1,3,0.1741000160109251,0.0580333386703083,1,0
5,exp,0.05,0.5,greedy,42,1,3,0,1,3,0.0867000198923051,0.0289000066307683,1,0
5,exp,0.05,0.5,greedy,42,2,10,1,1,15,0.2621000166982412,0.0174733344465494,0,0
5,exp,0.05,0.5,greedy,42,3,10,0,1,12,0.2058999962173402,0.0171583330181116,1,0
5,exp,0.05,0.5,greedy,42,4,16,0,1,18,0.3079000161960721,0.0171055564553373,1,0
5,exp,0.05,0.5,greedy,42,5,25,1,1,29,0.4952000163029879,0.0170758626311375,0,0
5,exp,0.05,0.5,greedy,42,6,3,0,1,4,0.0970000110100954,0.0242500027525238,1,0
5,exp,0.05,0.5,greedy,42,7,12,0,1,15,0.2620000159367919,0.0174666677291194,1,0
5,exp,0.05,0.5,greedy,42,8,15,0,1,17,0.2763000084087252,0.0162529416711014,1,0
5,exp,0.05,0.5,greedy,42,9,21,0,1,23,0.3534999850671738,0.0153695645681379,1,0
5,exp,0.05,0.5,greedy,42,10,8,0,1,8,0.1494000025559216,0.0186750003194902,1,0
5,exp,0.05,0.5,greedy,42,11,17,0,1,21,0.3332000051159411,0.0158666669102829,1,0
5,exp,0.05,0.5,greedy,42,12,13,0,1,14,0.2536999818403274,0.0181214272743091,1,0
5,exp,0.05,0.5,greedy,42,13,3,0,1,3,0.0784999865572899,0.0261666621857633,1,0
5,exp,0.05,0.5,greedy,42,14,11,0,1,13,0.2079999831039458,0.0159999987003035,1,0
5,exp,0.05,0.5,greedy,42,15,24,1,1,28,0.4391999973449856,0.0156857141908923,0,0
5,exp,0.05,0.5,greedy,42,16,24,0,1,26,0.381799996830523,0.0146846152627124,1,0
5,exp,0.05,0.5,greedy,42,17,2,0,1,2,0.0571999989915639,0.0285999994957819,1,0
5,exp,0.05,0.5,greedy,42,18,25,1,1,23,0.367600005120039,0.0159826089182625,0,0
5,exp,0.05,0.5,greedy,42,19,16,0,1,18,0.2834000042639673,0.0157444446813315,1,0
5,exp,0.05,0.5,greedy,42,20,14,0,1,17,0.2690000110305846,0.0158235300606226,1,0
5,exp,0.05,0.5,greedy,42,21,24,0,1,24,0.3810000198427588,0.0158750008267816,1,0
5,exp,0.05,0.5,greedy,42,22,3,1,1,3,0.0655000039841979,0.0218333346613993,0,0
5,exp,0.05,0.5,greedy,42,23,14,0,1,14,0.2182000025641173,0.0155857144688655,1,0
5,exp,0.05,0.5,greedy,42,24,19,0,1,20,0.5152999947313219,0.025764999736566,1,0
5,exp,0.05,0.5,greedy,42,25,22,0,1,24,0.3599000046961009,0.0149958335290042,1,0
5,exp,0.05,0.5,greedy,42,26,25,1,1,26,0.6227999983821064,0.0239538460916194,0,0
5,exp,0.05,0.5,greedy,42,27,18,1,1,19,0.3217000048607588,0.0169315792031978,0,0
5,exp,0.05,0.5,greedy,42,28,7,0,1,7,0.1700000138953328,0.0242857162707618,1,0
5,exp,0.05,0.5,greedy,42,29,4,0,1,6,0.1291999942623078,0.0215333323770513,1,0
5,exp,0.05,0.5,greedy,42,30,9,0,1,12,0.2106000029016286,0.0175500002418023,1,0
5,exp,0.05,0.5,greedy,42,31,7,1,1,7,0.2834000042639673,0.0404857148948524,0,0
5,exp,0.05,0.5,greedy,42,32,10,0,1,11,0.1990000018849969,0.0180909092622724,1,0
5,exp,0.05,0.5,greedy,42,33,14,0,1,14,0.2232000115327537,0.0159428579666252,1,0
5,exp,0.05,0.5,greedy,42,34,8,0,1,10,0.1693000085651874,0.0169300008565187,1,0
5,exp,0.05,0.5,greedy,42,35,24,0,1,24,0.3649999853223562,0.0152083327217648,1,0
