n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.5,prob_greedy,42,0,3,0,1,6,12.244699988514183,2.0407833314190307,1,0
5,exp,0.05,0.5,prob_greedy,42,1,3,0,1,5,10.1946999784559,2.03893999569118,1,0
5,exp,0.05,0.5,prob_greedy,42,2,10,1,1,10,26.8721999891568,2.68721999891568,0,0
5,exp,0.05,0.5,prob_greedy,42,3,10,0,1,13,36.62849997635931,2.817576921258408,1,0
5,exp,0.05,0.5,prob_greedy,42,4,16,0,1,18,49.79740001726896,2.7665222231816085,1,0
5,exp,0.05,0.5,prob_greedy,42,5,25,1,1,22,60.74229997466318,2.7610136352119627,0,0
5,exp,0.05,0.5,prob_greedy,42,6,3,0,1,4,10.700699989683926,2.675174997420981,1,0
5,exp,0.05,0.5,prob_greedy,42,7,12,0,1,12,32.38160000182688,2.698466666818907,1,0
5,exp,0.05,0.5,prob_greedy,42,8,15,0,1,14,34.07720001996495,2.434085715711782,1,0
5,exp,0.05,0.5,prob_greedy,42,9,21,0,1,22,42.47610000311397,1.9307318183233624,1,0
5,exp,0.05,0.5,prob_greedy,42,10,8,0,1,14,32.97130001010373,2.355092857864552,1,0
5,exp,0.05,0.5,prob_greedy,42,11,17,0,1,17,36.29289998207241,2.1348764695336717,1,0
5,exp,0.05,0.5,prob_greedy,42,12,13,0,1,14,24.98569997260347,1.7846928551859622,1,0
5,exp,0.05,0.5,prob_greedy,42,13,3,0,1,3,6.342400010908023,2.1141333369693407,1,0
5,exp,0.05,0.5,prob_greedy,42,14,11,0,1,11,23.224500007927418,2.1113181825388563,1,0
5,exp,0.05,0.5,prob_greedy,42,15,24,1,1,27,56.803299987223,2.103825925452704,0,0
5,exp,0.05,0.5,prob_greedy,42,16,24,0,1,21,44.65579998213798,2.126466665816094,1,0
5,exp,0.05,0.5,prob_greedy,42,17,2,0,1,3,6.391900009475648,2.130633336491883,1,0
5,exp,0.05,0.5,prob_greedy,42,18,25,1,1,29,77.69700000062585,2.679206896573305,0,0
5,exp,0.05,0.5,prob_greedy,42,19,16,0,1,16,48.94370000693016,3.058981250433135,1,0
5,exp,0.05,0.5,prob_greedy,42,20,14,0,1,14,41.77060001529753,2.9836142868069664,1,0
5,exp,0.05,0.5,prob_greedy,42,21,24,0,1,23,63.1942999898456,2.7475782604280696,1,0
5,exp,0.05,0.5,prob_greedy,42,22,3,1,1,4,10.906199982855467,2.7265499957138672,0,0
5,exp,0.05,0.5,prob_greedy,42,23,14,0,1,15,42.032199999084696,2.8021466666056463,1,0
5,exp,0.05,0.5,prob_greedy,42,24,19,0,1,21,59.90570000722073,2.852652381296225,1,0
