n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,1.0,risk_averse_greedy,42,0,3,0,1,4,0.3800999838858843,0.095024995971471,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,1,3,0,1,6,0.1763000036589801,0.0293833339431633,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,2,10,1,1,12,0.3492000105325132,0.0291000008777094,0,0
5,exp,0.05,1.0,risk_averse_greedy,42,3,10,0,1,11,0.2880000101868063,0.0261818191078914,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,4,16,0,1,20,0.5203000036999583,0.0260150001849979,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,5,25,1,1,30,0.8105000015348196,0.0270166667178273,0,0
5,exp,0.05,1.0,risk_averse_greedy,42,6,3,0,1,5,0.1725000038277357,0.0345000007655471,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,7,12,0,1,15,0.4121999954804778,0.0274799996986985,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,8,15,0,1,17,0.4579999949783087,0.0269411761751946,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,9,21,0,1,20,0.5286999803502113,0.0264349990175105,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,10,8,0,1,8,0.2425999846309423,0.0303249980788677,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,11,17,0,1,21,0.5488000169862062,0.0261333341422002,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,12,13,0,1,14,0.3835000097751617,0.0273928578410829,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,13,3,0,1,5,0.1347999786958098,0.0269599957391619,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,14,11,0,1,17,0.4536999913398176,0.0266882347846951,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,15,24,1,1,28,0.7101999945007265,0.025364285517883,0,0
5,exp,0.05,1.0,risk_averse_greedy,42,16,24,0,1,22,0.5686000222340226,0.0258454555560919,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,17,2,0,1,2,0.0652000016998499,0.0326000008499249,1,0
5,exp,0.05,1.0,risk_averse_greedy,42,18,25,1,1,28,0.7377000001724809,0.0263464285775886,0,0
