n,kernel,alpha,lambda,strategy,seed,board_id,initial_on,det_solvable,solved,presses_used,time_ms,time_per_action_ms,rescued,broken
5,exp,0.05,0.0001,standard_rollout,42,0,3,0,1,3,230.9114999952726,76.9704999984242,1,0
5,exp,0.05,0.0001,standard_rollout,42,1,3,0,1,3,225.1865999714937,75.0621999904979,1,0
5,exp,0.05,0.0001,standard_rollout,42,2,10,1,1,10,762.6534000155516,76.26534000155516,0,0
5,exp,0.05,0.0001,standard_rollout,42,3,10,0,1,11,837.4939999775961,76.13581817978147,1,0
5,exp,0.05,0.0001,standard_rollout,42,4,16,0,1,19,1422.5732999911995,74.87227894690525,1,0
5,exp,0.05,0.5,standard_rollout,42,0,3,0,1,3,233.2100000057835,77.73666666859451,1,0
5,exp,0.05,0.5,standard_rollout,42,1,3,0,1,4,305.8213999902364,76.4553499975591,1,0
5,exp,0.05,0.5,standard_rollout,42,2,10,1,1,10,761.4137999771629,76.14137999771629,0,0
5,exp,0.05,0.5,standard_rollout,42,3,10,0,1,11,828.8262999849394,75.3478454531763,1,0
5,exp,0.05,0.5,standard_rollout,42,4,16,0,1,19,1423.5044000088235,74.92128421099072,1,0
5,exp,0.05,1.0,standard_rollout,42,0,3,0,1,10,854.7535999969114,85.47535999969114,1,0
5,exp,0.05,1.0,standard_rollout,42,1,3,0,1,3,249.610600003507,83.20353333450232,1,0
5,exp,0.05,1.0,standard_rollout,42,2,10,1,1,12,947.0068000082392,78.91723333401994,0,0
5,exp,0.05,1.0,standard_rollout,42,3,10,0,1,11,984.625099983532,89.51137272577563,1,0
5,exp,0.05,1.0,standard_rollout,42,4,16,0,1,17,1439.0827000024728,84.65192352955722,1,0
5,exp,0.05,2.0,standard_rollout,42,0,3,0,1,8,1091.0883999895304,136.3860499986913,1,0
5,exp,0.05,2.0,standard_rollout,42,1,3,0,1,3,413.576400023885,137.8588000079617,1,0
5,exp,0.05,2.0,standard_rollout,42,2,10,1,1,10,1142.7693000005092,114.27693000005092,0,0
5,exp,0.05,2.0,standard_rollout,42,3,10,0,1,9,689.0949000080582,76.56610000089535,1,0
5,exp,0.05,2.0,standard_rollout,42,4,16,0,1,15,1176.1382000113372,78.40921333408915,1,0
5,exp,0.1,0.0001,standard_rollout,42,0,3,0,1,5,400.50129999872297,80.1002599997446,1,0
5,exp,0.1,0.0001,standard_rollout,42,1,3,0,1,9,758.4789000102319,84.27543333447021,1,0
5,exp,0.1,0.0001,standard_rollout,42,2,10,1,1,13,1020.9976999904028,78.53828461464637,0,0
5,exp,0.1,0.0001,standard_rollout,42,3,10,0,1,12,952.3675999953412,79.36396666627843,1,0
5,exp,0.1,0.0001,standard_rollout,42,4,16,0,1,21,1588.129399984609,75.62520952307663,1,0
5,exp,0.1,0.5,standard_rollout,42,0,3,0,1,4,334.11809999961406,83.52952499990351,1,0
5,exp,0.1,0.5,standard_rollout,42,1,3,0,1,6,503.4075999865309,83.90126666442181,1,0
5,exp,0.1,0.5,standard_rollout,42,2,10,1,1,14,1111.027799983276,79.359128570234,0,0
5,exp,0.1,0.5,standard_rollout,42,3,10,0,1,11,857.2105999919586,77.92823636290532,1,0
5,exp,0.1,0.5,standard_rollout,42,4,16,0,1,19,2272.5834000157192,119.60965263240628,1,0
5,exp,0.05,1.0,standard_rollout,42,5,25,1,1,26,1987.8246000153013,76.45479230828082,0,0
5,exp,0.05,1.0,standard_rollout,42,6,3,0,1,3,221.5825999737717,73.8608666579239,1,0
5,exp,0.05,1.0,standard_rollout,42,7,12,0,1,11,839.135799993528,76.28507272668436,1,0
5,exp,0.05,1.0,standard_rollout,42,8,15,0,1,18,1351.7066000204068,75.09481111224483,1,0
5,exp,0.05,1.0,standard_rollout,42,9,21,0,1,23,1738.5479000222404,75.58903913140175,1,0
5,exp,0.05,0.0001,standard_rollout,42,5,25,1,1,27,2066.377699986333,76.53250740690122,0,0
5,exp,0.05,0.0001,standard_rollout,42,6,3,0,1,5,373.64209999213926,74.72841999842785,1,0
5,exp,0.05,0.0001,standard_rollout,42,7,12,0,1,13,973.059399984777,74.85072307575207,1,0
5,exp,0.05,0.0001,standard_rollout,42,8,15,0,1,15,1121.35390000185,74.75692666679,1,0
5,exp,0.05,0.0001,standard_rollout,42,9,21,0,1,23,1713.7449999863748,74.51065217332064,1,0
5,exp,0.05,0.5,standard_rollout,42,5,25,1,1,31,2354.1275000025053,75.93959677427436,0,0
5,exp,0.05,0.5,standard_rollout,42,6,3,0,1,3,225.8369000046514,75.27896666821714,1,0
5,exp,0.05,0.5,standard_rollout,42,7,12,0,1,13,974.6279000246432,74.97137692497255,1,0
5,exp,0.05,0.5,standard_rollout,42,8,15,0,1,16,1188.2421000045724,74.26513125028578,1,0
5,exp,0.05,0.5,standard_rollout,42,9,21,0,1,22,1654.552299994975,75.20692272704433,1,0
5,exp,0.1,1.0,standard_rollout,42,0,3,0,1,3,236.27540000597944,78.75846666865982,1,0
5,exp,0.1,1.0,standard_rollout,42,1,3,0,1,3,273.37370000896044,91.12456666965348,1,0
5,exp,0.1,1.0,standard_rollout,42,2,10,1,1,20,1645.838700002059,82.29193500010297,0,0
5,exp,0.1,1.0,standard_rollout,42,3,10,0,1,23,1785.841500008246,77.64528260905418,1,0
5,exp,0.1,1.0,standard_rollout,42,4,16,0,1,34,2799.49370000395,82.33805000011617,1,0
5,exp,0.1,0.5,standard_rollout,42,5,25,1,1,23,1904.5791999960784,82.80779130417731,0,0
5,exp,0.1,0.5,standard_rollout,42,6,3,0,1,6,457.51460001338273,76.2524333355638,1,0
5,exp,0.1,0.5,standard_rollout,42,7,12,0,1,15,1150.93900001375,76.72926666758333,1,0
5,exp,0.1,0.5,standard_rollout,42,8,15,0,1,19,1513.2975000014994,79.64723684218418,1,0
5,exp,0.1,0.5,standard_rollout,42,9,21,0,1,26,2135.5637999949977,82.13706923057683,1,0
5,exp,0.1,0.0001,standard_rollout,42,5,25,1,1,30,2617.687699996168,87.25625666653893,0,0
5,exp,0.1,0.0001,standard_rollout,42,6,3,0,1,3,403.715899999952,134.57196666665064,1,0
5,exp,0.1,0.0001,standard_rollout,42,7,12,0,1,12,1631.2062999932095,135.93385833276747,1,0
5,exp,0.1,0.0001,standard_rollout,42,8,15,0,1,16,1318.9327000000048,82.4332937500003,1,0
5,exp,0.1,0.0001,standard_rollout,42,9,21,0,1,21,2357.118800020544,112.24375238193066,1,0
5,exp,0.05,2.0,standard_rollout,42,5,25,1,1,28,3347.638300008839,119.5585107146014,0,0
5,exp,0.05,2.0,standard_rollout,42,6,3,0,1,2,166.31249999045394,83.15624999522697,1,0
5,exp,0.05,2.0,standard_rollout,42,7,12,0,1,22,1687.7978999982588,76.71808636355722,1,0
5,exp,0.05,2.0,standard_rollout,42,8,15,0,1,25,2020.426300005056,80.81705200020224,1,0
5,exp,0.05,2.0,standard_rollout,42,9,21,0,1,22,1701.609899988398,77.34590454492718,1,0
